"level_code","field_code","duration_yr","fee","cum_duration","fee_component","none_fee_component","duration_whole_yr","loan_for_course","loan_at_graduation","sac_funding","total_funding"
"04","1005",0.5,5500,0.5,2750,5450,0,8200,8200,6196,3098
"04","1007",0.5,5500,0.5,2750,5450,0,8200,8200,6196,3098
"04","1099",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","1100",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","1101",0.5,5500,0.5,2750,5450,0,8200,8200,6196,3098
"04","1103",0.5,5500,0.5,2750,5450,0,8200,8200,6196,3098
"04","3333",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","4444",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","5555",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","7777",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","8888",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","9999",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"05","0100",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0101",1,6000,1,6000,10900,1,16900,16900,11081,11081
"05","0103",1,6000,1,6000,10900,1,16900,16900,11081,11081
"05","0105",1,6000,1,6000,10900,1,16900,16900,11081,11081
"05","0107",1,6000,1,6000,10900,1,16900,16900,11081,11081
"05","0109",1,4488,1,4488,10900,1,15388,15388,11081,11081
"05","0199",1,6709.5,1,6709.5,10900,1,17609.5,17609.5,11081,11081
"05","0200",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0201",1,6000,1,6000,10900,1,16900,16900,9478,9478
"05","0203",1,6000,1,6000,10900,1,16900,16900,9478,9478
"05","0299",1,6000,1,6000,10900,1,16900,16900,9478,9478
"05","0300",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0301",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0303",2,3569,2,7138,21800,2,28938,28938,11395,22790
"05","0305",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0307",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0309",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0311",2,6616,2,13232,21800,2,35032,35032,11395,22790
"05","0313",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0315",1.25,24733.5,1.25,30916.875,13625,1,44541.875,44541.875,12643,15803.75
"05","0317",3.16666666666667,6202.33333333333,3.16666666666667,19640.7222222222,34516.6666666667,3,54157.3888888889,54157.3888888889,11395,36084.1666666667
"05","0399",1,6856,1,6856,10900,1,17756,17756,11395,11395
"05","0400",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0401",1,6000,1,6000,10900,1,16900,16900,9478,9478
"05","0403",2,6160,2,12320,21800,2,34120,34120,9478,18956
"05","0500",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0501",2.33333333333333,6346,2.33333333333333,14807.3333333333,25433.3333333333,2,40240.6666666667,40240.6666666667,10650,24850
"05","0503",1,6900.5,1,6900.5,10900,1,17800.5,17800.5,10650,10650
"05","0505",2,6283,2,12566,21800,2,34366,34366,10650,21300
"05","0507",1,6000,1,6000,10900,1,16900,16900,10650,10650
"05","0509",1,6368.5,1,6368.5,10900,1,17268.5,17268.5,10650,10650
"05","0599",1,4527,1,4527,10900,1,15427,15427,NA,NA
"05","0600",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0601",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0603",1,6000,1,6000,10900,1,16900,16900,10650,10650
"05","0605",1,6000,1,6000,10900,1,16900,16900,13563,13563
"05","0607",1,6000,1,6000,10900,1,16900,16900,13563,13563
"05","0609",1,6000,1,6000,10900,1,16900,16900,13563,13563
"05","0611",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0613",1,6519,1,6519,10900,1,17419,17419,11395,11395
"05","0615",1,6000,1,6000,10900,1,16900,16900,11395,11395
"05","0617",1,6500,1,6500,10900,1,17400,17400,9478,9478
"05","0619",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0699",1,5288.33333333333,1,5288.33333333333,10900,1,16188.3333333333,16188.3333333333,9478,9478
"05","0700",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0701",1,3929,1,3929,10900,1,14829,14829,8828,8828
"05","0703",1,6000,1,6000,10900,1,16900,16900,8828,8828
"05","0799",1,6023,1,6023,10900,1,16923,16923,8828,8828
"05","0800",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0801",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0803",0.9,5903.6,0.9,5313.24,9810,0,15123.24,15123.24,6196,5576.4
"05","0805",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0807",1,6612,1,6612,10900,1,17512,17512,6196,6196
"05","0809",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0811",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0899",1,5972,1,5972,10900,1,16872,16872,6196,6196
"05","0900",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","0901",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0903",1,3048,1,3048,10900,1,13948,13948,6196,6196
"05","0905",1,6022,1,6022,10900,1,16922,16922,6196,6196
"05","0907",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0909",2,6779,2,13558,21800,2,35358,35358,6196,12392
"05","0911",1,3750,1,3750,10900,1,14650,14650,6196,6196
"05","0913",1,4379,1,4379,10900,1,15279,15279,6196,6196
"05","0915",1.38888888888889,4934.66666666667,1.38888888888889,6853.7037037037,15138.8888888889,1,21992.5925925926,21992.5925925926,6196,8605.55555555555
"05","0917",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0919",1,6000,1,6000,10900,1,16900,16900,6196,6196
"05","0921",1.4,8114,1.4,11359.6,15260,1,26619.6,26619.6,6196,8674.4
"05","0999",1,6120,1,6120,10900,1,17020,17020,6196,6196
"05","1000",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","1001",1,6103,1,6103,10900,1,17003,17003,6196,6196
"05","1003",1,6825,1,6825,10900,1,17725,17725,6196,6196
"05","1005",1.5,6802.5,1.5,10203.75,16350,1,26553.75,26553.75,6196,9294
"05","1007",1,6038,1,6038,10900,1,16938,16938,6196,6196
"05","1099",1,5665,1,5665,10900,1,16565,16565,6196,6196
"05","1100",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","1101",1.5,6648,1.5,9972,16350,1,26322,26322,6196,9294
"05","1103",1,4528,1,4528,10900,1,15428,15428,6196,6196
"05","3333",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","4444",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","5555",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","7777",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","8888",1,6000,1,6000,10900,1,16900,16900,NA,NA
"05","9999",1,6000,1,6000,10900,1,16900,16900,NA,NA
"07","0100",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0101",3,6305,3,18915,32700,3,51615,51615,13542,40626
"07","0103",3,6500,3,19500,32700,3,52200,52200,13542,40626
"07","0105",3,6500,3,19500,32700,3,52200,52200,13542,40626
"07","0107",3,6500,3,19500,32700,3,52200,52200,13542,40626
"07","0109",3,6631.66666666667,3,19895,32700,3,52595,52595,13542,40626
"07","0199",3.75,6705.9375,3.75,25147.265625,40875,3,66022.265625,66022.265625,13542,50782.5
"07","0200",3,6500,3,19500,32700,3,52200,52200,NA,NA
"07","0201",2.9,8422,2.9,24423.8,31610,2,56033.8,56033.8,9478,27486.2
"07","0203",3,6513.2,3,19539.6,32700,3,52239.6,52239.6,9478,28434
"07","0299",3.6,6289.4,3.6,22641.84,39240,3,61881.84,61881.84,9478,34120.8
"07","0300",3,6500,3,19500,32700,3,52200,52200,NA,NA
